 day,rain_mm,runoff_mm,soil_mm,et_mm,wet
   1,     0.000,     0.000,    34.111,     3.389,0
   2,     0.000,     0.000,    30.700,     3.411,0
   3,     0.000,     0.000,    27.267,     3.433,0
   4,     7.617,     2.590,    29.144,     3.455,1
   5,     6.169,     2.098,    29.986,     3.477,1
   6,     0.000,     0.000,    26.486,     3.499,0
   7,     0.000,     0.000,    22.965,     3.522,0
   8,     0.000,     0.000,    19.421,     3.544,0
   9,     0.000,     0.000,    15.854,     3.567,0
  10,     0.000,     0.000,    12.265,     3.589,0
  11,     3.606,     1.226,    11.178,     3.612,1
  12,    12.175,     4.140,    16.066,     3.634,1
  13,     0.000,     0.000,    12.409,     3.657,0
  14,     0.000,     0.000,     8.729,     3.680,0
  15,     0.000,     0.000,     5.026,     3.703,0
  16,     0.000,     0.000,     1.300,     3.726,0
  17,     0.000,     0.000,     0.000,     3.748,0
  18,     0.000,     0.000,     0.000,     3.771,0
  19,     3.199,     1.088,     0.000,     3.794,1
  20,     4.524,     1.538,     0.000,     3.817,1
  21,     0.000,     0.000,     0.000,     3.840,0
  22,     0.000,     0.000,     0.000,     3.863,0
  23,     0.000,     0.000,     0.000,     3.886,0
  24,     0.000,     0.000,     0.000,     3.909,0
  25,     0.000,     0.000,     0.000,     3.931,0
  26,     6.532,     2.221,     0.618,     3.954,1
  27,     0.000,     0.000,     0.000,     3.977,0
  28,     0.000,     0.000,     0.000,     4.000,0
  29,     0.000,     0.000,     0.000,     4.022,0
  30,    16.737,     5.691,     7.671,     4.045,1
  31,     0.000,     0.000,     3.604,     4.067,0
  32,     0.000,     0.000,     0.000,     4.090,0
  33,     0.000,     0.000,     0.000,     4.112,0
  34,     0.000,     0.000,     0.000,     4.134,0
  35,     0.000,     0.000,     0.000,     4.156,0
  36,     0.000,     0.000,     0.000,     4.178,0
  37,     0.000,     0.000,     0.000,     4.200,0
  38,     1.724,     0.586,     0.000,     4.222,1
  39,    12.922,     4.394,     4.802,     4.244,1
